run_id,approach,learning_rate,batch_size,warmup_ratio,lora_r,f1_2class,f1_3class,best_epoch
fft_lr1e-05_bs8_w0.06,fft,1e-05,8,0.06,N/A,0.6589,0.4956,-1
fft_lr1e-05_bs8_w0.1,fft,1e-05,8,0.1,N/A,0.7151,0.5071,-1
fft_lr1e-05_bs16_w0.06,fft,1e-05,16,0.06,N/A,0.7035,0.4613,-1
fft_lr1e-05_bs16_w0.1,fft,1e-05,16,0.1,N/A,0.6469,0.5055,-1
fft_lr2e-05_bs8_w0.06,fft,2e-05,8,0.06,N/A,0.3937,0.2624,-1
fft_lr2e-05_bs8_w0.1,fft,2e-05,8,0.1,N/A,0.3937,0.2624,-1
fft_lr2e-05_bs16_w0.06,fft,2e-05,16,0.06,N/A,0.6947,0.5099,-1
fft_lr2e-05_bs16_w0.1,fft,2e-05,16,0.1,N/A,0.6459,0.5419,-1
fft_lr3e-05_bs8_w0.06,fft,3e-05,8,0.06,N/A,0.6521,0.5291,-1
fft_lr3e-05_bs8_w0.1,fft,3e-05,8,0.1,N/A,0.4163,0.2818,-1
fft_lr3e-05_bs16_w0.06,fft,3e-05,16,0.06,N/A,0.4238,0.2574,-1
fft_lr3e-05_bs16_w0.1,fft,3e-05,16,0.1,N/A,0.2597,0.1533,-1
lora_lr1e-04_bs8_w0.06_r8,lora,0.0001,8,0.06,8,0.6215,0.4024,-1
lora_lr1e-04_bs8_w0.06_r16,lora,0.0001,8,0.06,16,0.7035,0.4639,-1
lora_lr1e-04_bs8_w0.06_r32,lora,0.0001,8,0.06,32,0.707,0.4603,-1
lora_lr1e-04_bs8_w0.1_r8,lora,0.0001,8,0.1,8,0.7016,0.4633,-1
lora_lr1e-04_bs8_w0.1_r16,lora,0.0001,8,0.1,16,0.6779,0.4404,-1
lora_lr1e-04_bs8_w0.1_r32,lora,0.0001,8,0.1,32,0.7015,0.4554,-1
lora_lr1e-04_bs16_w0.06_r8,lora,0.0001,16,0.06,8,0.5895,0.3774,-1
lora_lr1e-04_bs16_w0.06_r16,lora,0.0001,16,0.06,16,0.6034,0.4513,-1
lora_lr1e-04_bs16_w0.06_r32,lora,0.0001,16,0.06,32,0.6352,0.4185,-1
lora_lr1e-04_bs16_w0.1_r8,lora,0.0001,16,0.1,8,0.5727,0.4756,-1
lora_lr1e-04_bs16_w0.1_r16,lora,0.0001,16,0.1,16,0.5663,0.3577,-1
lora_lr1e-04_bs16_w0.1_r32,lora,0.0001,16,0.1,32,0.6878,0.5378,-1
lora_lr5e-04_bs8_w0.06_r8,lora,0.0005,8,0.06,8,0.661,0.4632,-1
lora_lr5e-04_bs8_w0.06_r16,lora,0.0005,8,0.06,16,0.3937,0.2624,-1
lora_lr5e-04_bs8_w0.06_r32,lora,0.0005,8,0.06,32,0.3937,0.2624,-1
lora_lr5e-04_bs8_w0.1_r8,lora,0.0005,8,0.1,8,0.3937,0.2624,-1
lora_lr5e-04_bs8_w0.1_r16,lora,0.0005,8,0.1,16,0.6698,0.4252,-1
lora_lr5e-04_bs8_w0.1_r32,lora,0.0005,8,0.1,32,0.3937,0.2624,-1
lora_lr5e-04_bs16_w0.06_r8,lora,0.0005,16,0.06,8,0.6119,0.4217,-1
lora_lr5e-04_bs16_w0.06_r16,lora,0.0005,16,0.06,16,0.6694,0.4794,-1
lora_lr5e-04_bs16_w0.06_r32,lora,0.0005,16,0.06,32,0.6723,0.494,-1
lora_lr5e-04_bs16_w0.1_r8,lora,0.0005,16,0.1,8,0.6435,0.4201,-1
lora_lr5e-04_bs16_w0.1_r16,lora,0.0005,16,0.1,16,0.3937,0.2624,-1
lora_lr5e-04_bs16_w0.1_r32,lora,0.0005,16,0.1,32,0.3937,0.2624,-1
lora_lr1e-03_bs8_w0.06_r8,lora,0.001,8,0.06,8,0.3937,0.2624,-1
lora_lr1e-03_bs8_w0.06_r16,lora,0.001,8,0.06,16,0.2597,0.1533,-1
lora_lr1e-03_bs8_w0.06_r32,lora,0.001,8,0.06,32,0.3937,0.2624,-1
lora_lr1e-03_bs8_w0.1_r8,lora,0.001,8,0.1,8,0.2597,0.1533,-1
lora_lr1e-03_bs8_w0.1_r16,lora,0.001,8,0.1,16,0.2597,0.1533,-1
lora_lr1e-03_bs8_w0.1_r32,lora,0.001,8,0.1,32,0.2597,0.1533,-1
lora_lr1e-03_bs16_w0.06_r8,lora,0.001,16,0.06,8,0.2597,0.1533,-1
lora_lr1e-03_bs16_w0.06_r16,lora,0.001,16,0.06,16,0.2597,0.1533,-1
lora_lr1e-03_bs16_w0.06_r32,lora,0.001,16,0.06,32,0.2597,0.1533,-1
lora_lr1e-03_bs16_w0.1_r8,lora,0.001,16,0.1,8,0.5787,0.515,-1
lora_lr1e-03_bs16_w0.1_r16,lora,0.001,16,0.1,16,0.2597,0.1533,-1
lora_lr1e-03_bs16_w0.1_r32,lora,0.001,16,0.1,32,0.2597,0.1533,-1
